Years,StSalary,Gender,Degree
2,20,F,BS
1,25,M,BS
1,25,M,BS
1,30,F,BS
2,30,F,BS
2,30,M,BS
3,30,F,BS
4,30,F,BS
5,30,M,MS
8,30,M,PhD
1,35,M,BS
1,35,M,BS
1,35,M,BS
2,35,F,BS
3,35,F,BS
4,35,F,BS
6,35,F,MS
6,35,F,MS
2,40,F,BS
2,40,M,BS
3,40,M,BS
3,40,M,BS
3,40,M,BS
4,40,F,BS
5,40,F,MS
5,40,F,MS
6,40,F,MS
7,40,M,MS
9,40,M,PhD
10,40,M,PhD
5,45,M,MS
6,45,M,MS
8,45,M,PhD
8,45,M,PhD
9,45,M,PhD
10,45,M,PhD
6,50,F,MS
6,50,F,MS
7,50,M,MS
7,50,M,MS
8,50,M,PhD
9,50,M,PhD
9,50,M,PhD
10,50,M,PhD
8,55,M,PhD
8,55,M,PhD
10,55,F,PhD
